Country,Policy,Year,Biomass,Catch,Profits
Australia,Business As Usual,2041,408648.80211134243,27968.641685828185,98053673.12579103
Australia,Business As Usual,2042,409106.0386912668,28026.2334099974,98328753.26164137
Australia,Business As Usual,2043,409501.92132522183,28075.759146327277,98548210.60506052
Australia,Business As Usual,2044,409845.1245509017,28118.402415808494,98501706.08945909
Australia,Business As Usual,2045,410143.0667380448,28155.069280299045,98489600.49635868
Australia,Business As Usual,2046,410402.1923198481,28186.570527929725,98430708.1108088
Australia,Business As Usual,2047,410628.071914363,28213.644933816184,98401700.26886152
Australia,Business As Usual,2048,410825.47998602013,28236.931586390045,98250250.86432254
Australia,Business As Usual,2049,410998.500696373,28256.981180589253,98047071.4890314
Australia,Business As Usual,2050,411150.6223217614,28274.266698929005,97908471.11894208
Australia,Fmsy,2013,372678.04956207593,42844.41389317703,52388478.88470243
Australia,Fmsy,2014,354071.5249003153,39219.38011246882,63180654.838536315
Australia,Fmsy,2015,341800.155091248,37236.03106866714,67586135.53340554
Australia,Fmsy,2016,332864.16465306154,35963.07156433226,71169020.4491488
Australia,Fmsy,2017,326046.0491091047,35068.90885544381,73916066.2752535
Australia,Fmsy,2018,320713.4105492767,34405.36674912103,75769024.44677487
Australia,Fmsy,2019,316487.399162527,33896.43418438246,76928644.03910965
Australia,Fmsy,2020,313116.94364726776,33498.20162320839,77597023.33203979
Australia,Fmsy,2021,310423.4869242992,33182.64169138201,77881393.35731389
Australia,Fmsy,2022,308273.9754448541,32930.52287053171,77620982.04665582
Australia,Fmsy,2023,306566.17326439696,32728.006856549073,76658961.33068225
Australia,Fmsy,2024,305219.8436165896,32564.821052044506,75984062.94732553
Australia,Fmsy,2025,304171.02346354147,32433.17009512971,76022885.36336446
Australia,Fmsy,2026,303368.09679147654,32327.035968505137,75844919.65917303
Australia,Fmsy,2027,302768.99872863427,32241.70510002298,75753294.8383993
Australia,Fmsy,2028,302339.17040818644,32173.438721945397,75557853.61836873
Australia,Fmsy,2029,302050.03094211867,32119.238174774153,75404231.58770959
Australia,Fmsy,2030,301877.8150185451,32076.675004689387,75192061.27843243
Australia,Fmsy,2031,301802.6743947239,32043.766104360155,75026746.98964572
Australia,Fmsy,2032,301807.97332407965,32018.880599683434,74821174.93968354
Australia,Fmsy,2033,301879.72892211523,32000.669387903217,74630981.32796144
Australia,Fmsy,2034,302006.1616125329,31988.0110426034,74424495.90509318
Australia,Fmsy,2035,302177.3304695324,31979.969705052677,74229275.69826087
Australia,Fmsy,2036,302384.8349753904,31975.76188074862,74027567.74051745
Australia,Fmsy,2037,302621.5694125333,31974.72995122871,73838913.59335887
Australia,Fmsy,2038,302881.5194473753,31976.320825629828,73646920.26976113
Australia,Fmsy,2039,303159.59286772896,31980.068582798503,73462601.09399882
Australia,Fmsy,2040,303451.4781947514,31985.580253064294,73296799.5581303
Australia,Fmsy,2041,303753.5261988086,31992.52409975898,73128349.002322
Australia,Fmsy,2042,304062.65033832734,32000.619911689646,72960895.21305887
Australia,Fmsy,2043,304376.2429017482,32009.630927626607,72803712.74124113
Australia,Fmsy,2044,304692.1042269901,32019.357094999905,72651771.52704775
Australia,Fmsy,2045,305008.3828433892,32029.629425915093,72506698.82222442
Australia,Fmsy,2046,305323.52475811774,32040.305260087396,72364588.51618594
Australia,Fmsy,2047,305636.23041421577,32051.264280321382,72226072.6092784
Australia,Fmsy,2048,305945.4180962886,32062.40515447726,72088083.42672387
Australia,Fmsy,2049,306250.1927642693,32073.642700390355,71971189.15126626
Australia,Fmsy,2050,306549.8194642105,32084.905488317552,71848522.13101692
Australia,Opt,2013,372678.04956207593,67974.41547534613,91228435.75350556
Australia,Opt,2014,328941.5233181462,29393.028365294835,45740000.35901116
Australia,Opt,2015,328859.1087932597,27875.90028955635,77806628.571901
Australia,Opt,2016,330684.9821358105,26288.552987609208,82426397.25194466
Australia,Opt,2017,334492.0341340461,25733.163975630283,85807405.80440499
Australia,Opt,2018,339126.07541948324,25523.467629290935,86892252.33905579
Australia,Opt,2019,344173.8170162494,25516.249533142727,87180067.86689283
Australia,Opt,2020,349384.266825505,25653.27476800052,87400634.7575405
Australia,Opt,2021,354571.96057905233,25857.945121403365,87648302.84440541
Australia,Opt,2022,359633.5909745005,26185.415702980157,87970233.87888017
Australia,Opt,2023,364416.4976272717,26557.10579989542,88323210.1066597
Australia,Opt,2024,368853.5712702878,26954.8958332427,88702403.5503349
Australia,Opt,2025,372903.161826498,27330.622485019852,89077514.02897017
Australia,Opt,2026,376577.63264319045,27701.22975288007,89459061.34126481
Australia,Opt,2027,379876.50106038305,28026.68543310495,89811851.51166978
Australia,Opt,2028,382842.0916551016,28315.400451181067,90141454.14531855
